ion_position_um,intensity_mW_cm2
1.215662793072063153e+02,2.328811956683614348e-02
1.217879155135668157e+02,2.314723666207701633e-02
1.220095517199273161e+02,2.300486612172411224e-02
1.222311879262878023e+02,2.286332364785586754e-02
1.224528241326482885e+02,2.272638947274207080e-02
1.226744603390087889e+02,2.258706048822381116e-02
1.228960965453692893e+02,2.244714132454407249e-02
1.231177327517297755e+02,2.231280986648871353e-02
1.233393689580902617e+02,2.217724206457347830e-02
1.235610051644507621e+02,2.204152251260269035e-02
1.237826413708112625e+02,2.190909856118452778e-02
1.240042775771717487e+02,2.177159439545938921e-02
1.242259137835322349e+02,2.163847733932510592e-02
1.244475499898927353e+02,2.150155680623078158e-02
1.246691861962532357e+02,2.136755581278258417e-02
1.248908224026137219e+02,2.123382550485811843e-02
1.251124586089742081e+02,2.110389049687541943e-02
1.253340948153347085e+02,2.097289313198974492e-02
1.255557310216952089e+02,2.084258617618992351e-02
1.257773672280557093e+02,2.071058391475112323e-02
1.259990034344161813e+02,2.058027827808954491e-02
1.262206396407766817e+02,2.045052961271862091e-02
1.264422758471371822e+02,2.032397138554608435e-02
1.266639120534976826e+02,2.019184925459093644e-02
1.268855482598581546e+02,2.006539329750064993e-02
1.271071844662186550e+02,1.993397191570856972e-02
1.273288206725791554e+02,1.980671024374269437e-02
1.275504568789396558e+02,1.968322346194652586e-02
1.277720930853001562e+02,1.956383644702500146e-02
1.279937292916606282e+02,1.944426968518278911e-02
1.282153654980211286e+02,1.932565320265541495e-02
1.284370017043816290e+02,1.920110311352128674e-02
1.286586379107421294e+02,1.908103271126206785e-02
1.288802741171026014e+02,1.896215227818998095e-02
1.291019103234631018e+02,1.884199527163902405e-02
1.293235465298236022e+02,1.872156982455737070e-02
1.295451827361841026e+02,1.859772173817730509e-02
1.297668189425445746e+02,1.847086100229574160e-02
1.299884551489050750e+02,1.834796186789888414e-02
1.302100913552655754e+02,1.822797697201510025e-02
1.304317275616260758e+02,1.811588964193626763e-02
1.306533637679865478e+02,1.800408642637206513e-02
1.308749999743470482e+02,1.788961284899708015e-02
1.310966361807075486e+02,1.777394384562717283e-02
1.313182723870680491e+02,1.766157076235268589e-02
1.315399085934285210e+02,1.754711881556713163e-02
1.317615447997890215e+02,1.743190170306773562e-02
1.319831810061495219e+02,1.732348687836869627e-02
1.322048172125100223e+02,1.721245952910535615e-02
1.324264534188705227e+02,1.710393995991575655e-02
1.326480896252309947e+02,1.699314595063576572e-02
1.328697258315914951e+02,1.688547112151013441e-02
1.330913620379519955e+02,1.677656508578961522e-02
1.333129982443124959e+02,1.666705173030418041e-02
1.335346344506729679e+02,1.655316657050858245e-02
1.337562706570334683e+02,1.643906141778651506e-02
1.339779068633939687e+02,1.633041588318717360e-02
1.341995430697544691e+02,1.621881578213496197e-02
1.344211792761149411e+02,1.611187499197727288e-02
1.346428154824754415e+02,1.600985186716313152e-02
1.348644516888359419e+02,1.590472254874165242e-02
1.350860878951964423e+02,1.580139214156640881e-02
1.353077241015569143e+02,1.569599377630226389e-02
1.355293603079174147e+02,1.559010531431969521e-02
1.357509965142779151e+02,1.548611004509565202e-02
1.359726327206384155e+02,1.538476133584063855e-02
1.361942689269988875e+02,1.527996838127800711e-02
1.364159051333593879e+02,1.518043562555180560e-02
1.366375413397198884e+02,1.508308466708473648e-02
1.368591775460803888e+02,1.498539964710565199e-02
1.370808137524408608e+02,1.488678662568016127e-02
1.373024499588013612e+02,1.479229682065463097e-02
1.375240861651618616e+02,1.469439595361206850e-02
1.377457223715223620e+02,1.459365729252584676e-02
1.379673585778828624e+02,1.449391211457948248e-02
1.381889947842433344e+02,1.439504456502510576e-02
1.384106309906038348e+02,1.429748381442090543e-02
1.386322671969643352e+02,1.419937168042829413e-02
1.388539034033248356e+02,1.410159148585576894e-02
1.390755396096853076e+02,1.400758507534329532e-02
1.392971758160458080e+02,1.391261056485990945e-02
1.395188120224063084e+02,1.381934186396081669e-02
1.397404482287668088e+02,1.372611825956328996e-02
1.399620844351272808e+02,1.363071340686477367e-02
1.401837206414877812e+02,1.353639418853305569e-02
1.404053568478482816e+02,1.344023845122575833e-02
1.406269930542087820e+02,1.334856817714394697e-02
1.408486292605692540e+02,1.325918820558479039e-02
1.410702654669297544e+02,1.316704656490858168e-02
1.412919016732902548e+02,1.308148969351462937e-02
1.415135378796507553e+02,1.299634569599616811e-02
1.417351740860112272e+02,1.291120842526330414e-02
1.419568102923717277e+02,1.282631718609822738e-02
1.421784464987322281e+02,1.273886302524320988e-02
1.424000827050927285e+02,1.265354110793339565e-02
1.426217189114532289e+02,1.256399669473421375e-02
1.428433551178137009e+02,1.247825416897451259e-02
1.430649913241742013e+02,1.239134005183527287e-02
1.432866275305347017e+02,1.230574499098022884e-02
1.435082637368952021e+02,1.221976462705778865e-02
1.437298999432556741e+02,1.213280743718803817e-02
1.439515361496161745e+02,1.204972050052974947e-02
1.441731723559766749e+02,1.196426736583754320e-02
1.443948085623371753e+02,1.187900696461308657e-02
1.446164447686976473e+02,1.179494552893454486e-02
1.448380809750581477e+02,1.171310105660972913e-02
1.450597171814186481e+02,1.163147879762416355e-02
1.452813533877791485e+02,1.155216072898284339e-02
1.455029895941396205e+02,1.147350158217166384e-02
1.457246258005001209e+02,1.139753936838394481e-02
1.459462620068606213e+02,1.131687262429906249e-02
1.461678982132211218e+02,1.124117103453360460e-02
1.463895344195815937e+02,1.116335462859556482e-02
1.466111706259420941e+02,1.108621676769280806e-02
1.468328068323025946e+02,1.100383834754559663e-02
1.470544430386630950e+02,1.092487955971714435e-02
1.472760792450235954e+02,1.084758513923007525e-02
1.474977154513840674e+02,1.077117464786350211e-02
1.477193516577445678e+02,1.069485260430478105e-02
1.479409878641050682e+02,1.062261204813394824e-02
1.481626240704655686e+02,1.055058471713698348e-02
1.483842602768260406e+02,1.047355577936140078e-02
1.486058964831865410e+02,1.040333094832208982e-02
1.488275326895470414e+02,1.033367475598230903e-02
1.490491688959075418e+02,1.026150541688846014e-02
1.492708051022680138e+02,1.019008623319032913e-02
1.494924413086285142e+02,1.011297518930240683e-02
1.497140775149890146e+02,1.003935086533403950e-02
1.499357137213495150e+02,9.968421991382833344e-03
1.501573499277099870e+02,9.895911790250759218e-03
1.503789861340704874e+02,9.823460917564868708e-03
1.506006223404309878e+02,9.752585022170924198e-03
1.508222585467914882e+02,9.679648616493261720e-03
1.510438947531519602e+02,9.606224391863833062e-03
1.512655309595124606e+02,9.537279215023685558e-03
1.514871671658729610e+02,9.468250006621012002e-03
1.517088033722334615e+02,9.400971769851449236e-03
1.519304395785939619e+02,9.333012505444843870e-03
1.521520757849544339e+02,9.264064919743610071e-03
1.523737119913149343e+02,9.198602767597327881e-03
1.525953481976754347e+02,9.132337579818940176e-03
1.528169844040359351e+02,9.068672667464269463e-03
1.530386206103964071e+02,9.000383938045908999e-03
1.532602568167569075e+02,8.935075150055963103e-03
1.534818930231174079e+02,8.872555675731785482e-03
1.537035292294779083e+02,8.805489213903377327e-03
1.539251654358383803e+02,8.740893465184128644e-03
1.541468016421988807e+02,8.677577255956353888e-03
1.543684378485593811e+02,8.617007328630858082e-03
1.545900740549198815e+02,8.552219215147073561e-03
1.548117102612803535e+02,8.490172401975295755e-03
1.550333464676408539e+02,8.425315513049253316e-03
1.552549826740013543e+02,8.362051168075642499e-03
1.554766188803618547e+02,8.301322452559652815e-03
1.556982550867223267e+02,8.233174485840606682e-03
1.559198912930828271e+02,8.175477330205052975e-03
1.561415274994433275e+02,8.118563087198727921e-03
1.563631637058038280e+02,8.059936340596164303e-03
1.565847999121643284e+02,8.003050913795510882e-03
1.568064361185248003e+02,7.945535635365975208e-03
1.570280723248853008e+02,7.887294724402138524e-03
1.572497085312458012e+02,7.825965227458486773e-03
1.574713447376063016e+02,7.768315659119649948e-03
1.576929809439667736e+02,7.709050064529422014e-03
1.579146171503272740e+02,7.651399939039032864e-03
1.581362533566877744e+02,7.594092584650267638e-03
1.583578895630482748e+02,7.535661545721491356e-03
1.585795257694087468e+02,7.481333878765591278e-03
1.588011619757692472e+02,7.424810002351006979e-03
1.590227981821297476e+02,7.369435103517916162e-03
1.592444343884902480e+02,7.315336917451555239e-03
1.594660705948507200e+02,7.257500195353828662e-03
1.596877068012112204e+02,7.203308620856338843e-03
1.599093430075717208e+02,7.149791658559698053e-03
1.601309792139322212e+02,7.098399860706268438e-03
1.603526154202926932e+02,7.049684971194299099e-03
1.605742516266531936e+02,6.998446324468661321e-03
1.607958878330136940e+02,6.946457972984601374e-03
1.610175240393741944e+02,6.892707769025487041e-03
1.612391602457346949e+02,6.840863785338976120e-03
1.614607964520951668e+02,6.784375714104604917e-03
1.616824326584556673e+02,6.728900388705417145e-03
1.619040688648161677e+02,6.676542924322401325e-03
1.621257050711766681e+02,6.625399009746332779e-03
1.623473412775371401e+02,6.575376108660214471e-03
1.625689774838976405e+02,6.525693807423362490e-03
1.627906136902581409e+02,6.475066945868411181e-03
1.630122498966186413e+02,6.428936461154504886e-03
1.632338861029791133e+02,6.382188160923776485e-03
1.634555223093396137e+02,6.332026905999442283e-03
1.636771585157001141e+02,6.286000239921329252e-03
1.638987947220606145e+02,6.239935916953461351e-03
1.641204309284210865e+02,6.190193451543099870e-03
1.643420671347815869e+02,6.140205618230728038e-03
1.645637033411420873e+02,6.091513965215561779e-03
1.647853395475025877e+02,6.046268941788894742e-03
1.650069757538630597e+02,6.001438635753870987e-03
1.652286119602235601e+02,5.957082850774186172e-03
1.654502481665840605e+02,5.913660425727847343e-03
1.656718843729445609e+02,5.872947977605873747e-03
1.658935205793050613e+02,5.830976096608491907e-03
